南部,中部,北部,東部,離島
0.06221446964033557,0.06679920174276008,0.060145732987526235,0.06450683569154783,0.004018169112508735
0.22347682531771743,0.24665691695991956,0.23311102877608988,0.2350668711388185,0.023235499650593988
0.4019592574134063,0.42798318175586125,0.3898974928986045,0.4149712195846338,0.045422781271837874
0.5637376443226183,0.5708697043096751,0.496233172780042,0.5673036743161467,0.05433263452131376
0.6589521554946425,0.6702603476379813,0.5626157836235642,0.6646062515663118,0.07354996505939902
0.7081858958385249,0.7275063601602607,0.6063356798814376,0.7178461279993928,0.0737246680642907
0.7176945759614586,0.7453285194156269,0.6147338520439669,0.7315115476885428,0.08997204751921734
0.6753509427693328,0.7140654753743735,0.5873780412498457,0.6947082090718532,0.12141858839972049
0.6084163967106903,0.6351979647487166,0.5345189576386317,0.6218071807297034,0.2838923829489868
0.48307479857131,0.5141172706914675,0.4453501296776584,0.4985960346313888,0.19479385045422778
0.31720450203505274,0.3415901162347852,0.3195628010374213,0.32939730913491894,0.04227812718378755
0.13773569233325028,0.1461618146641683,0.17629986414721502,0.14194875349870928,0.012054507337526206
0.025747570396212303,0.019337933976204622,0.09250339631962455,0.022542752186208465,0.00017470300489168413
0.0,0.004905321207135566,0.08373471656168952,0.002452660603567783,0.0
