,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-12 17:00:00,0.4162645827201125,0.5118531802473505,0.4662831202339529,0.4373562281217632,0.46438287740143935
2024-07-12 18:00:00,0.4670449367166707,0.5221341947578872,0.4707050617490431,0.4548053691408426,0.4833860926182493
2024-07-12 19:00:00,0.4765651124633835,0.5124995050293781,0.47397932581653174,0.45149074832094,0.48473066673326987
2024-07-12 20:00:00,0.4767638336061137,0.5357098182646054,0.4784327919721574,0.4777593635863225,0.49366120800452096
2024-07-12 21:00:00,0.47691000970089936,0.5736823925329578,0.48409914317116937,0.5183203426901497,0.5079173874283124
2024-07-12 22:00:00,0.47697796249313784,0.5752581089002188,0.47924739283916057,0.5216093211904723,0.5072761112204519
2024-07-12 23:00:00,0.4772234517037792,0.5914351464260241,0.48170259443704,0.5393695636976662,0.51319674395262
2024-07-13 00:00:00,0.4773641060769832,0.5985526936998191,0.49119138191150763,0.5440366243145873,0.5189026530985891
2024-07-13 01:00:00,0.4782093952762787,0.6177087629955137,0.5104054220668641,0.556892799729559,0.5329088485011628
2024-07-13 02:00:00,0.47482399279706133,0.650636037369725,0.5174435574251215,0.579069285076265,0.5470384728690627
2024-07-13 03:00:00,0.4629200771141526,0.6569971927632455,0.5138330815006227,0.5788307644661435,0.5459499628745798
2024-07-13 04:00:00,0.45278250100933565,0.6587174069723399,0.5151688291390669,0.5778070437088301,0.5435080975049221
2024-07-13 05:00:00,0.44807708571564814,0.6426956309631953,0.5108097428759654,0.566727901438667,0.5383672334105417
2024-07-13 06:00:00,0.41420922789415876,0.5802811349846067,0.516435874451744,0.5186434830201367,0.5096384829517161
2024-07-13 07:00:00,0.33863569512523406,0.48878457599045844,0.5087498578301065,0.4405729256393677,0.4500565025456984
2024-07-13 08:00:00,0.3168130425424581,0.4255450954007208,0.49095377584942457,0.3878382523703626,0.4143712547822793
2024-07-13 09:00:00,0.2753132899754487,0.38866423021822066,0.48377886685592125,0.3515255315578825,0.383429552464492
2024-07-13 10:00:00,0.2618688521665921,0.363628824003888,0.47550235166634736,0.3322437292748363,0.36766606894852416
2024-07-13 11:00:00,0.2552186739779953,0.3622947208011274,0.47386505356295616,0.3340740648459038,0.36515942039731364
