,南部 (kgCO2e/kWh),北部 (kgCO2e/kWh),中部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2021-04-04 00:00:00,0.48543286952715453,0.4346905212927743,0.6365446824698133,0.42047043250965394,0.5352735642137832
2021-04-04 01:00:00,0.48449902718378857,0.44931075988916047,0.6216825890938907,0.41075034650869424,0.5308267627958414
2021-04-04 02:00:00,0.4844666732182264,0.40450911140542584,0.6545298710087923,0.4280666576438848,0.537017279236921
2021-04-04 03:00:00,0.4849105321061205,0.37109097926642837,0.6631429458758914,0.4335095726648902,0.5423210625802274
2021-04-04 04:00:00,0.4844101999935007,0.3775671221412041,0.6629016366498948,0.4323909037041996,0.5433295138718612
2021-04-04 05:00:00,0.484506805108381,0.39464955832532006,0.6595191138020989,0.4350435111239635,0.5424178326896413
2021-04-04 06:00:00,0.48446123053619267,0.4463761130591765,0.6585767653799488,0.43462013332194976,0.5466889533305905
2021-04-04 07:00:00,0.48551260576284905,0.48445292041372795,0.6583494440492041,0.44465253577846087,0.5515373689799832
2021-04-04 08:00:00,0.4859073457537383,0.5023914256394613,0.6525174078591304,0.44755560771593683,0.5518299453596827
2021-04-04 09:00:00,0.486124721812421,0.5138362537959374,0.6290092263404155,0.43109935493085894,0.540050627933531
2021-04-04 10:00:00,0.4866854416595189,0.5172259102082261,0.6409174936532149,0.4212497322574611,0.5429239704688985
2021-04-04 11:00:00,0.4861422996977277,0.5167554076954501,0.6497635097313511,0.43554091250227084,0.5448773914637572
2021-04-04 12:00:00,0.48738162845399324,0.5245455416823392,0.6437883535513067,0.4713102235970138,0.5459070459335259
2021-04-04 13:00:00,0.48705051426327245,0.5094196579534065,0.6583223672151308,0.4804636157088741,0.5463202794104066
2021-04-04 14:00:00,0.4871385348873828,0.5197289588388785,0.6209272262420104,0.4551218187402554,0.5357177834631325
2021-04-04 15:00:00,0.486853723146799,0.5223364942217358,0.5799896991517383,0.43157380082681235,0.5244609259823014
2021-04-04 16:00:00,0.4870238703518965,0.5130160899743819,0.6135163226961292,0.443449679605016,0.5357164630740024
