南部,北部,中部,東部,離島
0.015476982542850808,0.003581573422255156,0.003453528936824947,0.009465255739837877,0.0015723270440251573
0.026249089123340615,0.01154748672347783,0.029351187483813965,0.02780013830357729,0.013452131376659677
0.05412983556696131,0.03847103865629246,0.11696601313163627,0.08554792434929878,0.04821802935010482
0.09237081392770015,0.05915771273311104,0.20260956994652893,0.14749019193711455,0.09399021663172608
0.09439850457814529,0.06378905767568235,0.24245083253355268,0.16842466855584898,0.3478336827393432
0.12090105503279155,0.0766950722489811,0.30956385296223515,0.21523245399751334,0.3922082459818309
0.14659569749390108,0.11158453748301839,0.21344088478588727,0.18001829113989418,0.4746680642907058
0.15999746538668694,0.10713844633814994,0.13806194110567768,0.1490297032461823,0.44025157232704404
0.13005734562620788,0.12906014573298752,0.28648446902183017,0.20827090732401904,0.38784067085953877
0.13070684028767862,0.11609237989378783,0.3179927791234404,0.2243498097055595,0.3081761006289308
0.051024934258467186,0.0938001729035445,0.10421217799308381,0.0776185561257755,0.1850104821802935
0.027072838450083958,0.03383969371372113,0.03804975397224381,0.03256129621116388,0.05590496156533892
0.003104901308494123,0.0014820303816228233,0.0011806285514068522,0.0021427649299504874,0.0022711390635918936
0.0,0.0,4.874853373550873e-05,2.4374266867754367e-05,0.0
