南部,北部,中部,東部,離島
0.0031999493077337388,0.0006175126590095097,0.0022393857684749325,0.0027196675381043357,0.019217330538085255
0.07317111808129773,0.03847103865629245,0.06164861447526774,0.06740986627828273,0.03686233403214536
0.23887146342236165,0.18253674200321104,0.24717182334750087,0.24302164338493126,0.10290006988120194
0.4274783765801729,0.29220699024329994,0.4196441357037308,0.42356125614195184,0.23270440251572327
0.5093939105915154,0.37155736692602204,0.5472358057980288,0.5283148581947721,0.37071977638015374
0.5166492412001394,0.5558848956403606,0.6021952074097771,0.5594222243049582,0.4196366177498253
0.5206729398346164,0.6606767938742745,0.6165729780783937,0.568622958956505,0.44164919636617755
0.49680005069226624,0.6009015684821539,0.5692884237466296,0.5330442372194479,0.4159678546470999
0.39674619015936374,0.41052241570952197,0.46749234495681186,0.4321192675580878,0.3490566037735849
0.29816557361467544,0.23354328763739657,0.3043020581021586,0.301233815858417,0.2489517819706499
0.11694072173114091,0.06496233172780043,0.11871181999603918,0.11782627086359004,0.08350803633822503
0.016538351867693184,0.003705075954057058,0.004254832960102373,0.010396592413897779,0.027603074772886097
